Country,Happiness Score,Social support,Freedom,Generosity,Perceptions of corruption,GDP per capita,Healthy Life expectancy,Year
Sweden,7.364,1.2890700000000002,0.6598,0.36262,0.43843999999999994,1.33171,0.9108700000000001,2015
Austria,7.2,1.29704,0.62433,0.33088,0.18675999999999998,1.33723,0.8904200000000001,2015
Luxembourg,6.946000000000001,1.21963,0.61583,0.28034000000000003,0.37798000000000004,1.5639100000000001,0.91894,2015
Ireland,6.94,1.36948,0.6177699999999999,0.45901000000000003,0.28703,1.33596,0.89533,2015
Belgium,6.937,1.28566,0.5845,0.2225,0.2254,1.30782,0.8966700000000001,2015
United Kingdom,6.867000000000001,1.28548,0.59625,0.51912,0.32066999999999996,1.26637,0.90943,2015
Germany,6.75,1.2993700000000001,0.6147699999999999,0.28214,0.21843,1.32792,0.89186,2015
France,6.575,1.2603799999999998,0.55011,0.12332,0.20646,1.27778,0.9457899999999999,2015
Spain,6.329,1.31379,0.45951000000000003,0.18227000000000002,0.06398,1.23011,0.95562,2015
Malta,6.3020000000000005,1.30203,0.60365,0.51752,0.13585999999999998,1.2074,0.88721,2015
Italy,5.9479999999999995,1.19777,0.26236,0.22823000000000002,0.02901,1.25114,0.9544600000000001,2015
North Cyprus,5.695,1.07008,0.49027,0.26169000000000003,0.1428,1.2080600000000001,0.92356,2015
Cyprus,5.689,0.89318,0.40671999999999997,0.30638000000000004,0.06146,1.20813,0.92356,2015
Portugal,5.102,1.13935,0.51469,0.13719,0.01078,1.15991,0.8751899999999999,2015
Greece,4.857,0.9293299999999999,0.07699,0.0,0.013969999999999998,1.15406,0.88213,2015
